Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,player_id,gamelog_url
2017-18,27.0,UTA,NBA,PG,6.0,6.0,181.0,15.9,0.471,0.405,0.291,2.9,23.5,13.1,36.8,2.2,1.5,16.8,26.1,0.0,0.3,0.2,0.063,0.4,2.0,2.5,0.2,,rubiori01,
2018-19,28.0,UTA,NBA,PG,5.0,5.0,168.0,17.3,0.515,0.303,0.303,1.8,8.4,5.0,46.2,3.5,0.7,16.7,22.9,0.2,0.2,0.3,0.092,1.3,3.6,4.8,0.3,,rubiori01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rubiori01,
2022-23,32.0,CLE,NBA,PG,3.0,0.0,17.0,-6.5,0.0,0.0,0.0,14.3,26.3,20.5,24.1,3.1,0.0,83.3,16.5,-0.1,0.0,-0.1,-0.254,-16.4,1.7,-14.7,-0.1,,rubiori01,
1962-63,22.0,SYR,NBA,PF,4.0,,53.0,9.7,0.374,,0.762,,,,6.7,,,,,-0.1,0.0,-0.1,-0.092,,,,,,chapple01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chapple01,
1966-67,26.0,CIN,NBA,C,4.0,,66.0,8.0,0.382,,0.148,,,,17.3,,,,,-0.1,0.0,-0.1,-0.093,,,,,,chapple01,
1967-68,27.0,DET,NBA,C,5.0,,21.0,11.7,0.363,,0.857,,,,0.0,,,,,-0.1,0.0,0.0,-0.006,,,,,,chapple01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chapple01,
1969-70,29.0,MIL,NBA,SF,9.0,,133.0,16.3,0.591,,0.38,,,,5.1,,,,,0.4,0.0,0.5,0.165,,,,,,chapple01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chapple01,
1971-72,31.0,DLC,ABA,PF,4.0,,89.0,11.2,0.527,0.0,0.333,,,10.4,4.8,,,9.8,14.5,0.1,0.1,0.2,0.101,,,,,,chapple01,
