Season,Age,Team,Lg,G,FG,FGA,FG%,FT,FTA,FT%,AST,PF,PTS,Awards,player_id,Pos,GS,MP,3P,3PA,2P,2PA,ORB,DRB,TRB,STL,BLK,TOV,3P%,2P%,eFG%
2005-06,23.0,PHO,NBA,20.0,5.2,11.0,0.47,2.5,2.9,0.862,2.7,3.3,14.2,,barbole01,SG,3.0,31.6,1.4,3.5,3.8,7.5,0.3,1.4,1.6,0.8,0.2,1.5,0.391,0.507,0.532
2006-07,24.0,PHO,NBA,11.0,5.8,14.4,0.405,2.5,3.5,0.718,2.2,2.7,15.8,,barbole01,SG,1.0,31.7,1.6,5.4,4.2,9.0,0.6,2.8,3.5,1.1,0.2,2.0,0.305,0.465,0.462
2007-08,25.0,PHO,NBA,5.0,3.8,11.0,0.345,2.0,2.2,0.909,1.8,2.0,10.4,,barbole01,SG,1.0,28.6,0.8,3.6,3.0,7.4,0.4,3.6,4.0,0.6,0.0,0.8,0.222,0.405,0.382
,,,,,,,,,,,,,,,barbole01,,,,,,,,,,,,,,,,
2009-10,27.0,PHO,NBA,16.0,2.7,6.4,0.417,1.1,1.5,0.708,1.3,2.1,7.2,,barbole01,PG,0.0,15.6,0.8,2.2,1.9,4.3,0.1,1.2,1.3,0.3,0.1,0.9,0.343,0.456,0.476
,,,,,,,,,,,,,,,barbole01,,,,,,,,,,,,,,,,
2011-12,29.0,IND,NBA,11.0,2.5,6.6,0.37,0.5,1.1,0.5,1.3,2.1,5.7,,barbole01,SG,0.0,20.3,0.3,1.8,2.2,4.8,0.5,1.7,2.2,0.5,0.1,1.2,0.15,0.453,0.39
,,,,,,,,,,,,,,,barbole01,,,,,,,,,,,,,,,,
2014-15,32.0,GSW,NBA,21.0,1.9,4.2,0.443,0.9,1.0,0.818,0.9,1.1,5.0,,barbole01,SG,0.0,10.9,0.4,1.1,1.5,3.1,0.4,0.9,1.3,0.3,0.0,0.6,0.348,0.477,0.489
2015-16,33.0,GSW,NBA,23.0,2.2,3.8,0.58,0.7,0.9,0.762,0.7,1.0,5.6,,barbole01,SG,0.0,11.0,0.5,1.2,1.7,2.6,0.5,0.7,1.2,0.5,0.0,0.5,0.393,0.667,0.642
1966-67,25.0,LAL,NBA,3.0,10.7,20.7,0.516,4.3,5.7,0.765,5.0,3.7,25.7,,clarkar01,SG,,41.7,,,,,,,4.3,,,,,,
1967-68,26.0,LAL,NBA,15.0,5.9,13.7,0.427,3.5,4.6,0.768,4.0,2.8,15.3,,clarkar01,PG,,35.2,,,,,,,3.1,,,,,,
1968-69,27.0,PHI,NBA,5.0,8.0,15.4,0.519,3.4,3.8,0.895,4.4,3.4,19.4,,clarkar01,SG,,37.0,,,,,,,3.8,,,,,,
1969-70,28.0,PHI,NBA,5.0,5.2,12.0,0.433,3.2,4.4,0.727,3.6,2.0,13.6,,clarkar01,PG,,29.2,,,,,,,2.8,,,,,,
1970-71,29.0,PHI,NBA,7.0,9.4,19.9,0.475,4.7,6.4,0.733,4.9,3.0,23.6,,clarkar01,PG,,42.1,,,,,,,4.1,,,,,,
1971-72,30.0,BAL,NBA,6.0,9.2,21.0,0.437,8.3,9.8,0.847,7.8,2.5,26.7,,clarkar01,PG,,45.2,,,,,,,4.0,,,,,,
1972-73,31.0,BAL,NBA,5.0,9.2,18.4,0.5,2.8,3.6,0.778,5.2,4.0,21.2,,clarkar01,PG,,42.8,,,,,,,3.4,,,,,,
1973-74,32.0,CAP,NBA,7.0,2.9,8.4,0.339,1.6,2.9,0.55,2.1,1.9,7.3,,clarkar01,PG,,23.1,,,,,0.4,1.4,1.9,0.7,0.0,,,,
1974-75,33.0,SEA,NBA,9.0,4.6,10.4,0.436,2.0,2.2,0.9,3.4,2.6,11.1,,clarkar01,PG,,29.9,,,,,0.8,2.8,3.6,0.7,0.1,,,,
1975-76,34.0,DET,NBA,9.0,3.3,6.9,0.484,1.3,2.0,0.667,3.2,2.8,8.0,,clarkar01,SG,,21.3,,,,,0.2,2.1,2.3,0.7,0.0,,,,
2018-19,22.0,POR,NBA,3.0,0.3,1.3,0.25,0.0,0.3,0.0,0.0,0.3,0.7,,labissk01,PF,0.0,3.7,0.0,0.7,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25
2019-20,21.0,BOS,NBA,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,edwarca01,SG,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,
2020-21,22.0,BOS,NBA,2.0,1.0,1.5,0.667,0.0,0.0,,0.0,0.0,2.5,,edwarca01,SG,0.0,2.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.833
2019-20,23.0,UTA,NBA,2.0,0.0,2.5,0.0,0.5,1.0,0.5,1.0,2.0,0.5,,brantja01,PF,0.0,6.5,0.0,1.5,0.0,1.0,1.5,0.5,2.0,0.0,0.5,0.5,0.0,0.0,0.0
2020-21,24.0,UTA,NBA,2.0,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.5,,brantja01,PF,0.0,1.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,,0.0,0.0
2021-22,25.0,MIA,NBA,8.0,0.4,0.9,0.429,0.0,0.0,,0.4,0.3,1.1,,highsha01,SF,0.0,3.9,0.4,0.6,0.0,0.3,0.3,0.4,0.6,0.0,0.0,0.4,0.6,0.0,0.643
2022-23,26.0,MIA,NBA,18.0,1.3,2.2,0.615,0.2,0.3,0.8,0.3,1.1,3.3,,highsha01,PF,0.0,8.9,0.4,0.9,0.9,1.3,0.6,0.8,1.3,0.6,0.1,0.1,0.5,0.696,0.718
2023-24,27.0,MIA,NBA,5.0,2.0,5.6,0.357,0.2,0.2,1.0,1.6,2.8,4.8,,highsha01,PF,0.0,25.2,0.6,3.2,1.4,2.4,0.4,2.4,2.8,0.2,0.2,0.8,0.188,0.583,0.411
2024-25,28.0,MIA,NBA,4.0,2.8,4.8,0.579,0.0,0.0,,1.0,2.8,7.3,,highsha01,SF,0.0,21.0,1.8,3.8,1.0,1.0,1.0,2.3,3.3,0.8,0.5,1.0,0.467,1.0,0.763
