Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 22,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 21,Unnamed: 25,Unnamed: 28,Unnamed: 12,Unnamed: 20,Unnamed: 17,Unnamed: 23,Unnamed: 29,Unnamed: 30,Unnamed: 26,Unnamed: 18
2010-11,23,MEM,NBA,SG,13,2,362,.388,14.6,.634,.254,.127,.112,.142,.366,.376,.529,.235,.067,.474,.408,.500,1.000,.022,3,.347,.529,2,0,,mayooj01,,,,,,,,,,,,,,,
2011-12,24,MEM,NBA,SG,7,0,163,.274,16.0,.613,.194,.113,.145,.161,.387,.263,.417,.143,.111,.300,.292,.200,.857,.000,0,.167,.250,0,0,,mayooj01,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mayooj01,,,,,,,,,,,,,,,
2014-15,27,MIL,NBA,SG,6,0,156,.333,14.7,.648,.241,.111,.148,.148,.352,.343,.231,.333,.375,.500,.316,.500,1.000,.000,0,.263,.600,0,0,,mayooj01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,,,,%FGA,#,,,Att.,Md.,,wrighbr03,2P,Awards,,,,,,,,,,,,,
2011-12,24,DAL,NBA,C,4,0,27,.400,5.2,1.000,.600,.200,.200,.000,.000,.400,.333,1.000,.000,,,,,.000,0,,,0,0,,wrighbr03,.500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrighbr03,,,,,,,,,,,,,,,
2013-14,26,DAL,NBA,C,6,0,90,.833,6.9,1.000,.444,.278,.167,.111,.000,.833,1.000,.800,.667,.500,,,,.222,4,,,0,0,,wrighbr03,.800,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrighbr03,,,,,,,,,,,,,,,
2016-17,29,MEM,NBA,PF,2,0,12,.400,8.8,1.000,.200,.200,.600,.000,.000,.400,.000,.000,.667,,,,,.000,0,,,0,0,,wrighbr03,1.000,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,munfoxa02,,,,,,,,,,,,,,,
2015-16,23,MEM,NBA,SG,4,0,89,.321,14.1,.714,.214,.179,.143,.214,.286,.400,.333,.200,.500,.500,.125,.000,1.000,.000,0,.125,1.000,1,0,,munfoxa02,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,johnsja01,,,,,,,,,,,,,,,
2009-10,22,CHI,NBA,PF,4,0,20,.000,13.5,.500,.500,.000,.000,.000,.500,.000,.000,,,,.000,,,.000,0,.000,,0,0,,johnsja01,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,johnsja01,,,,,,,,,,,,,,,
2013-14,26,MEM,NBA,SF,3,0,28,.333,12.2,.667,.467,.133,.067,.000,.333,.300,.429,.000,.000,,.400,.000,.500,.067,1,.200,1.000,1,0,,johnsja01,,,,,,,,,,,,,,,
2014-15,27,TOR,NBA,PF,2,0,12,.333,6.8,1.000,.167,.500,.167,.167,.000,.333,1.000,.333,.000,.000,,.500,,.000,0,,,0,0,,johnsja01,,,,,,,,,,,,,,,
2015-16,28,TOR,NBA,PF,10,0,98,.480,11.7,.640,.280,.200,.080,.080,.360,.500,.714,.600,.000,.000,.444,.750,1.000,.080,2,.333,1.000,0,0,,johnsja01,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,johnsja01,,,,,,,,,,,,,,,
2017-18,30,MIA,NBA,PF,5,5,161,.548,11.5,.690,.357,.119,.167,.048,.310,.552,.800,.400,.286,.000,.538,.688,.857,.071,3,.308,1.000,0,0,,johnsja01,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,johnsja01,,,,,,,,,,,,,,,
2023-24,36,IND,NBA,PF,1,0,1,,,,,,,,,,,,,,,,,,0,,,0,0,,johnsja01,,,,,,,,,,,,,,,
2024-25,37,IND,NBA,PF,3,0,13,.667,16.7,.667,.333,.000,.000,.333,.333,1.000,1.000,,,1.000,.000,.000,,.000,0,.000,,0,0,,johnsja01,,,,,,,,,,,,,,,
