Highlight,Unnamed: 2,In Stathead,player_id
"Career high, Points",24.0,View full stats from top 20 games,tuckepj01
"Career high, Rebounds",19.0,View full stats from top 20 games,tuckepj01
"Career high, Assists",8.0,View full stats from top 20 games,tuckepj01
"Career high, Steals",7.0,View full stats from top 20 games,tuckepj01
"Career high, Blocks",4.0,View full stats from top 20 games,tuckepj01
"Career high, Game Score",24.1,View full stats from top 20 games,tuckepj01
"Career high, Points",24.0,View full stats from top 20 games,englisc01
"Career high, Rebounds",15.0,View full stats from top 20 games,englisc01
"Career high, Assists",6.0,View full stats from top 20 games,englisc01
"Career high, Steals",5.0,View full stats from top 20 games,englisc01
"Career high, Blocks",2.0,View full stats from top 20 games,englisc01
"Career high, Game Score",8.0,View full stats from top 20 games,englisc01
"Career high, Points",17.0,View full stats from top 20 games,bradlal02
"Career high, Rebounds",6.0,View full stats from top 20 games,bradlal02
"Career high, Assists",2.0,View full stats from top 20 games,bradlal02
"Career high, Steals",3.0,View full stats from top 20 games,bradlal02
"Career high, Blocks",2.0,View full stats from top 20 games,bradlal02
"Career high, Game Score",15.2,View full stats from top 20 games,bradlal02
"Career high, Points",36.0,View full stats from top 20 games,doveso01
"Career high, Rebounds",19.0,View full stats from top 20 games,doveso01
"Career high, Assists",4.0,View full stats from top 20 games,doveso01
"Career high, Points",18.0,View full stats from top 20 games,gillan01
"Career high, Rebounds",10.0,View full stats from top 20 games,gillan01
"Career high, Assists",4.0,View full stats from top 20 games,gillan01
"Career high, Steals",2.0,View full stats from top 20 games,gillan01
"Career high, Blocks",3.0,View full stats from top 20 games,gillan01
"Career high, Game Score",16.2,View full stats from top 20 games,gillan01
"Career high, Points",12.0,View full stats from top 20 games,actonbu01
"Career high, Rebounds",7.0,View full stats from top 20 games,actonbu01
"Career high, Assists",3.0,View full stats from top 20 games,actonbu01
"Career high, Points",22.0,View full stats from top 20 games,robinwi01
"Career high, Rebounds",8.0,View full stats from top 20 games,robinwi01
"Career high, Assists",8.0,View full stats from top 20 games,robinwi01
"Career high, Steals",4.0,View full stats from top 20 games,robinwi01
"Career high, Blocks",2.0,View full stats from top 20 games,robinwi01
"Career high, Game Score",7.0,View full stats from top 20 games,robinwi01
"Career high, Points",17.0,View full stats from top 20 games,clarkja02
"Career high, Rebounds",5.0,View full stats from top 20 games,clarkja02
"Career high, Assists",4.0,View full stats from top 20 games,clarkja02
"Career high, Steals",4.0,View full stats from top 20 games,clarkja02
"Career high, Blocks",1.0,View full stats from top 20 games,clarkja02
"Career high, Game Score",15.4,View full stats from top 20 games,clarkja02
"Career high, Points",30.0,View full stats from top 20 games,woodle01
"Career high, Rebounds",7.0,View full stats from top 20 games,woodle01
"Career high, Assists",13.0,View full stats from top 20 games,woodle01
"Career high, Steals",4.0,View full stats from top 20 games,woodle01
