Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,% of FGA by Distance,% of FGA by Distance.1,% of FGA by Distance.2,% of FGA by Distance.3,% of FGA by Distance.4,% of FGA by Distance.5,FG% by Distance,FG% by Distance.1,FG% by Distance.2,FG% by Distance.3,FG% by Distance.4,FG% by Distance.5,% of FG Ast'd,% of FG Ast'd.1,Dunks,Dunks.1,Corner 3s,Corner 3s.1,Heaves,Heaves.1,Unnamed: 31,player_id,Unnamed: 12,Unnamed: 20,Unnamed: 25,Unnamed: 22,Unnamed: 28,Unnamed: 23,Unnamed: 26,Unnamed: 29,Unnamed: 30,Unnamed: 21,Unnamed: 27,Unnamed: 19,Unnamed: 24,Unnamed: 17,Unnamed: 18
2003-04,33,NJN,NBA,PG,69,15,1504,.404,16.8,.782,.119,.063,.132,.469,.218,.412,.673,.379,.328,.373,.376,.799,.974,.000,0,.257,.385,0,0,,harrilu01,,,,,,,,,,,,,,,
2004-05,34,CLE,NBA,SG,73,4,1128,.395,16.8,.783,.130,.043,.120,.488,.217,.415,.410,.385,.250,.459,.323,.835,1.000,.000,0,.523,.441,1,0,,harrilu01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,laravja01,,,,,,,,,,,,,,,
2022-23,21,MEM,NBA,PF,35,0,414,.389,20.1,.253,.158,.084,.011,.000,.747,.542,.533,.500,1.000,,.338,.846,1.000,.042,3,.155,.455,1,0,,laravja01,,,,,,,,,,,,,,,
2023-24,22,MEM,NBA,PF,35,6,806,.389,15.7,.485,.218,.218,.023,.026,.515,.442,.591,.303,.571,.250,.340,.569,.887,.026,8,.167,.462,1,0,,laravja01,,,,,,,,,,,,,,,
2024-25,23,2TM,NBA,PF,66,0,1349,.475,14.6,.579,.249,.270,.047,.012,.421,.513,.607,.484,.250,.250,.423,.590,.950,.074,20,.261,.378,2,1,,laravja01,,,,,,,,,,,,,,,
2024-25,23,MEM,NBA,PF,47,0,982,.490,12.1,.627,.307,.270,.037,.012,.373,.517,.595,.446,.444,.333,.444,.641,.950,.079,16,.289,.385,2,1,,laravja01,,,,,,,,,,,,,,,
2024-25,23,SAC,NBA,PF,19,0,367,.438,17.0,.458,.104,.271,.073,.010,.542,.500,.700,.577,.000,.000,.385,.409,.950,.063,4,.212,.364,0,0,,laravja01,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,webbech01,,,,,,,,,,,,,,,
1996-97,23,WSB,NBA,PF,72,72,2806,.518,10.0,.871,.482,.174,.134,.081,.129,.535,.618,.517,.314,.447,.397,.649,.933,.156,177,.013,1.000,1,0,AS,webbech01,,,,,,,,,,,,,,,
1997-98,24,WAS,NBA,C,71,71,2809,.482,11.0,.847,.340,.166,.165,.176,.153,.512,.708,.413,.262,.462,.317,.703,.862,.123,159,.034,.429,0,0,,webbech01,,,,,,,,,,,,,,,
1998-99,25,SAC,NBA,PF,42,42,1719,.486,9.6,.956,.281,.308,.181,.185,.044,.503,.735,.479,.355,.333,.118,.561,1.000,.121,83,.000,,0,0,"MVP-7,NBA2",webbech01,,,,,,,,,,,,,,,
1999-00,26,SAC,NBA,PF,75,75,2880,.483,11.1,.939,.222,.260,.185,.272,.061,.496,.729,.413,.387,.461,.284,.591,.778,.097,137,.032,.667,2,0,"MVP-9,AS,NBA3",webbech01,,,,,,,,,,,,,,,
2000-01,27,SAC,NBA,PF,70,70,2836,.481,10.2,.983,.256,.259,.122,.346,.017,.488,.730,.385,.395,.419,.071,.568,1.000,.068,100,.000,,1,0,"MVP-4,AS,NBA1",webbech01,,,,,,,,,,,,,,,
2001-02,28,SAC,NBA,PF,54,54,2071,.495,10.2,.982,.292,.187,.137,.367,.018,.499,.685,.363,.456,.437,.263,.594,1.000,.081,77,.000,,0,0,"MVP-7,AS,NBA2",webbech01,,,,,,,,,,,,,,,
2002-03,29,SAC,NBA,PF,67,67,2622,.461,11.1,.985,.237,.226,.129,.393,.015,.465,.647,.383,.395,.425,.238,.584,1.000,.056,69,.000,,1,0,"MVP-10,AS,NBA2",webbech01,,,,,,,,,,,,,,,
